repcountry,parcountry,year,repgwno,pargwno,repccode,repifscode,repifs,repgwabbrev,parccode,parifscode,parifs,pargwabbrev,positionIN_CDIS,positionOUT_CDIS,FDIflowOUT_FDI_OECD,FDIflowIN_FDI_OECD,FDIposOUT_FDI_OECD,FDIposIN_FDI_OECD,posOUT_FDI_BEA,posIN_FDI_BEA,migstock_MIG_UN,total_MIG,male_MIG,female_MIG,refugees_REF,asylum_REF,returned_REF,naturalize_nat_OECD,asylum_in_nat_OECD,mig_in_nat_OECD,mig_out_nat_OECD,labor_stock_nat_OECD,mig_stock_nat_OECD,labor_stock_bir_OECD,mig_stock_bir_OECD,FLOW_TH,treatytotalN_BLA,treatyruntotalN_BLA,signed_PTA,todate_PTA,inforce_PTA,signed_BIT,todate_BIT,inforce_BIT,defense_ALL,neutrality_ALL,nonaggression_ALL,entente_ALL,mid_MID,count_MID,host_MID,war_MID,war_WAR,rep_init_WAR,joiner_WAR,count_IGO,prop_IGO,ideal1_UNV,ideal2_UNV,absidealdiff_UNV,s2un_UNV,s3un_UNV,agree2un_UNV,agree3un_UNV,comlang_off_CEPII,comlang_ethno_CEPII,colony_CEPII,comcol_CEPII,dist_CEPII,distcap_CEPII,distw_CEPII,distwces_CEPII
"United States of America",China,1945,2,710,2,111,USA,USA,710,924,CHN,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26794798,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,8,0.121212121212121,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10993.68,11159.25,11183.4,11099.8
"United States of America",China,1946,2,710,2,111,USA,USA,710,924,CHN,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115320000,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10993.68,11159.25,11183.4,11099.8
"United States of America",China,1947,2,710,2,111,USA,USA,710,924,CHN,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87614600,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10993.68,11159.25,11183.4,11099.8
"United States of America",China,1948,2,710,2,111,USA,USA,710,924,CHN,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67741944,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10993.68,11159.25,11183.4,11099.8
"United States of America",China,1949,2,710,2,111,USA,USA,710,924,CHN,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36534632,0,0,0,0,0,NA,NA,NA,0,0,0,0,1,1,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10993.68,11159.25,11183.4,11099.8
"United States of America",China,1950,2,710,2,111,USA,USA,710,924,CHN,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24285724,0,0,0,0,0,NA,NA,NA,0,0,0,0,1,3,5,1,1,0,0,1,0.0105263157894737,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10993.68,11159.25,11183.4,11099.8
"United States of America",China,1951,2,710,2,111,USA,USA,710,924,CHN,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178571.5,0,0,0,0,0,NA,NA,NA,0,0,0,0,1,2,5,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10993.68,11159.25,11183.4,11099.8
"United States of America",China,1952,2,710,2,111,USA,USA,710,924,CHN,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1,2,5,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10993.68,11159.25,11183.4,11099.8
"United States of America",China,1953,2,710,2,111,USA,USA,710,924,CHN,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1,3,5,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10993.68,11159.25,11183.4,11099.8
"United States of America",China,1954,2,710,2,111,USA,USA,710,924,CHN,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2142858,0,0,0,0,0,NA,NA,NA,0,0,0,0,1,2,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10993.68,11159.25,11183.4,11099.8
"United States of America",China,1955,2,710,2,111,USA,USA,710,924,CHN,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1071429,0,0,0,0,0,NA,NA,NA,0,0,0,0,1,2,4,0,0,0,0,2,0.018348623853211,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10993.68,11159.25,11183.4,11099.8
